kanji	codepoint	strokes	grade	freq	jlpt	ref_sh_kk	on'yomi	kun'yomi	meanings
覚	35226	12	4	710	2	605	カク	おぼ･える, さ･ます, さ･める, さと･る	memorize, learn, remember, awake, sober up
角	35282	7	2	805	2	473	カク	かど, つの	angle, corner, square, horn, antlers
赫	36203	14					カク	あかい, あか, かがや･く	suddenly, brighten, illuminate, light up
較	36611	13	8	1172	2	1453	カク, コウ	くら･べる	contrast, compare
郭	37101	11	8	1670	1	1673	カク	くるわ	enclosure, quarters, fortification, red-light district
閣	38307	14	6	444	1	837	カク		tower, tall building, palace
隔	38548	13	8	1382	1	1589	カク	へだ･てる, へだ･たる	isolate, alternate, distance, separate, gulf
革	38761	9	6	249	2	1075	カク	かわ	leather, skin, reform, become serious
学	23398	8	1	63	4	109	ガク	まな･ぶ	study, learning, science
岳	23731	8	8	1334	1	1358	ガク	たけ	point, peak, mountain
楽	27005	13	2	373	3	358	ガク, ラク, ゴウ	たの･しい, たの･しむ, この･む	music, comfort, ease
額	38989	18	5	407	2	838	ガク	ひたい	forehead, tablet, plaque, framed picture, sum, amount, volume
顎	38990	18	8				ガク	あご, あぎと	jaw, chin, gill
掛	25499	11	8	1027	1	1464	カイ, ケイ	か･ける, -か･ける, か･け, -か･け, -が･け, か･かる, -か･かる, -が･かる, か･かり, -が･かり, かかり, -がかり	hang, suspend, depend, arrive at, tax, pour
笠	31520	11	9	1499			リュウ	かさ	bamboo hat, one's influence
樫	27179	16	9	2297				かし	evergreen oak, (kokuji)
橿	27263	17		2198			キョウ	かし, もちのき	oak
梶	26806	11	9	1355			ビ	かじ, こずえ	sculling oar
鰍	39949	20					シュウ, シュ	かじか, いなだ, どじょう	bullhead
潟	28511	15	4	1204	1	1626	セキ	かた, -がた	lagoon
割	21106	12	6	318	2	519	カツ	わ･る, わり, わ･り, わ･れる, さ･く	proportion, comparatively, divide, cut, separate, split
喝	21917	11	8	1858	1	1919	カツ		hoarse, scold
恰	24688	9	9				コウ, カッ, チョウ, キョウ	あたか･も	just as, as though, fortunately
括	25324	9	8	1026	1	1260	カツ	くく･る	fasten, tie up, arrest, constrict
活	27963	9	2	171	2	237	カツ	い･きる, い･かす, い･ける	lively, resuscitation, being helped, living
渇	28167	11	8	1944	1	1622	カツ	かわ･く	thirst, dry up, parch
滑	28369	13	8	1238	1	1267	カツ, コツ	すべ･る, なめ･らか	slippery, slide, slip, fail exam
葛	33883	11	8	1547			カツ, カチ	つづら, くず	arrowroot, kudzu
褐	35088	13	8	2186	1	1623	カツ		brown, woollen kimono
轄	36676	17	8	1771	1	1186	カツ	くさび	control, wedge
且	19988	5	8		1	1926	ショ, ソ, ショウ	か･つ	moreover, also, furthermore
鰹	39993	23					ケン	かつお	bonito
叶	21494	5	9	2312	1	2033	キョウ	かな･える, かな･う	grant, answer
椛	26907	11	9					かば, もみじ	autumn foliage, birch, maple, (kokuji)
樺	27194	14	9	1982	1	2123	カ	かば, かんば	birch, dark red
鞄	38788	14	9				ハク, ホウ, ビョウ	かばん	suitcase, bag, briefcase
株	26666	10	6	432	1	741	シュ	かぶ	stocks, stump, shares, stock, counter for small plants
兜	20828	11	9	2034			トウ, ト	かぶと	helmet, head piece
竃	31427	17					ソウ	かまど, かま, へっつい	kitchen stove, furnace, oven, hearth
蒲	33970	13	9	1887			ホ, ボ, フ, ブ	がま, かば, かま	bullrush, flag, cattail
釜	37340	10	8	1761			フ	かま	kettle, cauldron, iron pot
鎌	37772	18	8	1587	1	2257	レン, ケン	かま	sickle, scythe, trick
噛	22107	15		2399			コウ, ゴウ	か･む, か･じる	chew, bite, gnaw
鴨	40232	16	9	1797			オウ	かも, あひる	wild duck, easy mark
栢	26658	10					ハク, ヒャク	かしわ	oak
茅	33541	8	9	1895	1	2214	ボウ, ミョウ	かや, ちがや	miscanthus reed
萱	33841	12	9	2217			ケン	かや, かんぞう	miscanthus reed
粥	31909	12	9	2280			イク, シュク, ジュク	かゆ, かい, ひさ･ぐ	rice gruel
刈	21000	4	8	1738	1	1282	ガイ, カイ	か･る	reap, cut, clip, trim, prune
苅	33477	7		2178			ガイ, カイ	か･る	cutting (grass)
瓦	29926	5	8	1850			ガ	かわら, ぐらむ	tile, gram
乾	20094	11	8	1453	2	1190	カン, ケン	かわ･く, かわ･かす, ほ･す, ひ･る, いぬい	drought, dry, dessicate, drink up, heaven, emperor
侃	20355	8	9		1	2017	カン	つよ･い	strong, just, righteous, peace-loving
冠	20896	9	8	1503	1	1615	カン	かんむり	crown, best, peerless
寒	23506	12	3	1456	3	457	カン	さむ･い	cold
刊	21002	5	5	855	2	585	カン		publish, carve, engrave
勘	21208	11	8	1494	1	1502	カン		intuition, perception, check, compare, sixth sense
勧	21223	13	8	1068	1	1051	カン, ケン	すす･める	persuade, recommend, advise, encourage, offer
巻	24059	9	6	944	2	507	カン, ケン	ま･く, まき, ま･き	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)
喚	21914	12	8	1120	1	1587	カン	わめ･く	yell, cry, call, scream, summon
堪	22570	12	8	1953	1	1913	カン, タン	た･える, たま･る, こら･える, こた･える	withstand, endure, support, resist
姦	23014	9					カン, ケン	かん･する, かしま･しい, みだら	wicked, mischief, seduce, rape, noisy
完	23436	7	4	595	2	613	カン		perfect, completion, end
官	23448	8	4	230	2	326	カン		bureaucrat, the government, organ
寛	23515	13	8	1377	1	1050	カン	くつろ･ぐ, ひろ･い, ゆる･やか	tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded
干	24178	3	6	1349	2	584	カン	ほ･す, ほ･し-, -ぼ･し, ひ･る	dry, parch, ebb, recede, interfere, intercede
幹	24185	13	5	364	1	1189	カン	みき	tree trunk, main part, talent, capability
患	24739	11	8	796	1	1315	カン	わずら･う	afflicted, disease, suffer from, be ill
感	24863	13	3	233	2	262	カン		emotion, feeling, sensation
慣	24931	14	5	1177	2	915	カン	な･れる, な･らす	accustomed, get used to, become experienced
憾	25022	16	8	1682	1	1815	カン	うら･む	remorse, regret, be sorry
換	25563	12	8	687	2	1586	カン	か･える, -か･える, か･わる	interchange, period, change, convert, replace, renew
敢	25954	12	8	1859	1	1691	カン	あ･えて, あ･えない, あ･えず	daring, brave, bold, sad, tragic, pitiful
柑	26577	9	9				コン, カン		citrus, orange
桓	26707	10					カン		marking post
棺	26874	12	8	2161	1	1825	カン		coffin, casket
款	27454	12	8	1854	1	1727	カン		goodwill, article, section, friendship, collusion
歓	27475	15	8	1065	1	1052	カン	よろこ･ぶ	delight, joy
汗	27735	6	8	1502	2	1188	カン	あせ	sweat, perspire
漢	28450	13	3	1487	3	556	カン		Sino-, China
澗	28567	15					カン, ケン	たに, たにみず	valley river, 10**36
潅	28485	14					カン	そそ･ぐ	pour into, irrigate, shed (tears), flow into, concentrate on
環	29872	17	8	409	2	865	カン	わ	ring, circle, link, wheel
甘	29976	5	8	1248	2	1492	カン	あま･い, あま･える, あま･やかす, うま･い	sweet, coax, pamper, be content, sugary
監	30435	15	8	408	1	1663	カン		oversee, official, govt office, rule, administer
看	30475	9	6	1060	2	1316	カン	み･る	watch over, see
竿	31487	9	9	2416			カン	さお	pole, rod, scale beam, violin neck
管	31649	14	4	517	2	328	カン	くだ	pipe, tube, wind instrument, drunken talk, control, jurisdiction
簡	31777	18	6	983	2	1533	カン, ケン	えら･ぶ, ふだ	simplicity, brevity
緩	32233	15	8	933	1	1089	カン	ゆる･い, ゆる･やか, ゆる･む, ゆる･める	slacken, loosen, relax, lessen, be moderate, ease
缶	32566	6	8	1543	1	1649	カン	かま	tin can, container, jar radical (no. 121)
翰	32752	16					カン	はね, ふで, やまどり, ふみ	letter, writing brush
肝	32925	7	8	1118	1	1272	カン	きも	liver, pluck, nerve, chutzpah
艦	33382	21	8	1363	1	1665	カン		warship
莞	33694	10	9		1	2217	カン	い	smiling, reed used to cover tatami
観	35251	18	4	476	2	604	カン	み･る, しめ･す	outlook, look, appearance, condition, view
諌	35532	15		2296			カン	いさ･め, いさ･める	admonish, dissuade
貫	36011	11	8	1156	1	914	カン	つらぬ･く, ぬ･く, ぬき	pierce, 8 1/3lbs, penetrate, brace
還	36996	16	8	910	1	866	カン	かえ･る	send back, return
鑑	37969	23	8	1391	1	1664	カン	かんが･みる, かがみ	specimen, take warning from, learn from
間	38291	12	2	33	4	43	カン, ケン	あいだ, ま, あい	interval, space
閑	38289	12	8	1994	1	1532	カン		leisure
関	38306	14	4	70	2	398	カン	せき, -ぜき, かか･わる, からくり, かんぬき	connection, barrier, gateway, involve, concerning
陥	38501	10	8	1154	1	1218	カン	おちい･る, おとしい･れる	collapse, fall into, cave in, fall (castle), slide into
韓	38867	18	8	445			カン	から, いげた	Korea
館	39208	16	3	613	3	327	カン	やかた, たて	building, mansion, large building, palace
舘	33304	16		2281			カン	やかた, たて	mansion, large building, palace
丸	20024	3	2	542	2	644	ガン	まる, まる･める, まる･い	round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
含	21547	7	8	466	2	1249	ガン	ふく･む, ふく･める	contain, include, hold in the mouth, bear in mind, understand, cherish
岸	23736	8	3	556	2	586	ガン	きし	beach
巌	24012	20	9	1986	1	2059	ガン	いわ, いわお, けわ･しい	rock, crag, boulder
玩	29609	8	8	2216			ガン	もちあそ･ぶ, もてあそ･ぶ	play, take pleasure in, trifle with, make sport of
癌	30284	17		2233			ガン		cancer, cancerous evil
眼	30524	11	5	1527	1	848	ガン, ゲン	まなこ, め	eyeball
岩	23721	8	2	787	2	1345	ガン	いわ	boulder, rock, cliff
翫	32747	15		2134			ガン	もてあそ･ぶ	take pleasure in, play instrument
贋	36107	19		2439			ガン	にせ	counterfeit, forgery
雁	38593	12	9	2192			ガン	かり, かりがね	wild goose
頑	38929	13	8	1247	1	1848	ガン	かたく･な	stubborn, foolish, firmly
顔	38996	18	2	676	3	277	ガン	かお	face, expression
願	39000	19	4	894	2	581	ガン	ねが･う, -ねがい	petition, request, vow, wish, hope
企	20225	6	8	278	1	481	キ	くわだ･てる, たくら･む	undertake, scheme, design, attempt, plan
伎	20238	6	8		1	2012	ギ, キ	わざ, わざおぎ	deed, skill
危	21361	6	6	606	2	534	キ	あぶ･ない, あや･うい, あや･ぶむ	dangerous, fear, uneasy
喜	21916	12	5	769	2	1143	キ	よろこ･ぶ, よろこ･ばす	rejoice, take pleasure in
器	22120	15	4	525	2	527	キ	うつわ	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set
基	22522	11	5	241	2	450	キ	もと, もとい	fundamentals, radical (chem), counter for machines, foundation
奇	22855	8	8	1367	1	1360	キ	く･しき, あや･しい, くし, めずら･しい	strange, strangeness, curiosity
嬉	23305	15	9	2274	1	2048	キ	うれ･しい, たの･しむ	glad, pleased, rejoice
寄	23492	11	5	673	2	1361	キ	よ･る, -よ･り, よ･せる	draw near, stop in, bring near, gather, collect, send, forward
岐	23696	7	4	1428	1	872	キ, ギ		branch off, fork in road, scene, arena, theater
希	24076	7	4	896	2	676	キ, ケ	まれ, こいねが･う	hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal
幾	24190	12	8	1725	1	877	キ	いく-, いく･つ, いく･ら	how many, how much, how far, how long, some, several
忌	24524	7	8	1882	1	1797	キ	い･む, い･み, い･まわしい	mourning, abhor, detestable, death anniversary
揮	25582	12	6	946	1	1652	キ	ふる･う	brandish, wave, wag, swing, shake
机	26426	6	6	1671	2	1305	キ	つくえ	desk, table
旗	26071	14	4	1190	1	1006	キ	はた	national flag, banner, standard
既	26082	10	8	1081	1	1458	キ	すで･に	previously, already, long ago
期	26399	12	3	117	2	449	キ, ゴ		period, time, date, term
棋	26827	12	8	1311	1	1835	キ	ご	chess piece, Japanese chess, shogi
棄	26820	13	8	901	1	962	キ	す･てる	abandon, throw away, discard, resign, reject, sacrifice
機	27231	16	4	127	2	528	キ	はた	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion
帰	24112	10	2	504	3	317	キ	かえ･る, かえ･す, おく･る, とつ･ぐ	homecoming, arrive at, lead to, result in
毅	27589	15	9	1770	1	2131	キ, ギ	つよ･い	strong
気	27671	6	1	113	4	134	キ, ケ	き	spirit, mind, air, atmosphere, mood
汽	27773	7	2	2020	1	135	キ		vapor, steam
畿	30079	15	8	1683			キ	みやこ	capital, suburbs of capital
祈	31048	8	8	1462	2	621	キ	いの･る	pray, wish
季	23395	8	4	842	2	465	キ		seasons
稀	31232	12	9	2232	1	2182	キ, ケ	まれ, まばら	rare, phenomenal, dilute (acid)
紀	32000	9	5	780	1	372	キ		chronicle, account, narrative, history, annals, geologic period
徽	24509	17	9				キ	しるし	good, beautiful, badge
規	35215	11	5	349	2	607	キ		standard, measure
記	35352	10	2	149	2	371	キ	しる･す	scribe, account, narrative
貴	36020	12	6	970	1	1171	キ	たっと･い, とうと･い, たっと･ぶ, とうと･ぶ	precious, value, prize, esteem, honor
起	36215	10	3	374	3	373	キ	お･きる, お･こる, お･こす, おこ･す, た･つ	rouse, wake up, get up
軌	36556	9	8	1480	1	1787	キ		rut, wheel, track, model, way of doing
輝	36637	15	8	1259	1	1653	キ	かがや･く	radiance, shine, sparkle, gleam, twinkle
飢	39138	10	8	1659	1	1304	キ	う･える	hungry, starve
騎	39438	18	8	1696	1	1881	キ		equestrian, riding on horses, counter for equestrians
鬼	39740	10	8	1557	1	1523	キ	おに, おに-	ghost, devil
亀	20096	11	8	1353	1	2284	キ, キュウ, キン	かめ	tortoise, turtle
偽	20605	11	8	1171	1	1485	ギ, カ	いつわ･る, にせ, いつわ･り	falsehood, lie, deceive, pretend, counterfeit, forgery
儀	20736	15	8	739	1	727	ギ		ceremony, rule, affair, case, a matter
妓	22931	7					ギ, キ	わざおぎ, うたいめ	stretch, singing girl, geisha, prostitute
宜	23452	8	8	1766	1	1086	ギ	よろ･しい, よろ･しく	best regards, good
戯	25135	15	8	1880	1	1573	ギ, ゲ	たわむ･れる, ざ･れる, じゃ･れる	frolic, play, sport
技	25216	7	5	434	2	871	ギ	わざ	skill, art, craft, ability, feat, performance, vocation, arts
擬	25836	17	8	1990	1	1517	ギ	まが･い, もど･き	mimic, aim (a gun) at, nominate, imitate
欺	27450	12	8	1541	1	1499	ギ	あざむ･く	deceit, cheat, delude
犠	29344	17	8	1189	1	728	ギ, キ	いけにえ	sacrifice
疑	30097	14	6	283	2	1516	ギ	うたが･う	doubt, distrust, be suspicious, question
祇	31047	8	9	2169			ギ, キ, シ	くにつかみ, ただ, まさに	national or local god, peaceful, great
義	32681	13	5	415	1	291	ギ		righteousness, justice, morality, honor, loyalty, meaning
蟻	34811	19					ギ	あり	ant
誼	35516	15	9		1	2241	ギ	よしみ, よい	friendship, intimacy
議	35696	20	4	25	2	292	ギ		deliberation, consultation, debate, consideration
掬	25516	11	9				キク, コク	きく･す, むす･ぶ, すく･う, たなごころ	scoop up water with the hand
菊	33738	11	8	1287	1	475	キク		chrysanthemum
鞠	38816	17	9		1	2262	キク, キュウ	まり	ball
吉	21513	6	8	711	1	1141	キチ, キツ	よし	good luck, joy, congratulations
吃	21507	6					キツ	ども･る	stammer
喫	21931	12	8	1347	2	1240	キツ	の･む	consume, eat, drink, smoke, receive (a blow)
桔	26708	10	9				キツ, ケツ		used in plant names
橘	27224	16	9	2053	1	2127	キツ	たちばな	mandarin orange
詰	35440	13	8	1020	2	1142	キツ, キチ	つ･める, つ･め, -づ･め, つ･まる, つ･む	packed, close, pressed, reprove, rebuke, blame
砧	30759	10	9				チン	きぬた	fulling block
杵	26485	8	9	2355			ショ, ソ	きね	wooden pestle
黍	40653	12					ショ	きび	millet
却	21364	7	8	959	1	1783	キャク	かえ･って, しりぞ･く, しりぞ･ける	instead, on the contrary, rather, step back, withdraw, retreat
客	23458	9	3	557	2	641	キャク, カク		guest, visitor, customer, client
脚	33050	11	8	1228	1	1784	キャク, キャ, カク	あし	skids, leg, undercarriage, lower part, base
虐	34384	9	8	1464	1	1574	ギャク	しいた･げる	tyrannize, oppress
逆	36870	9	5	683	2	444	ギャク, ゲキ	さか, さか･さ, さか･らう	inverted, reverse, opposite, wicked
丘	19992	5	8	1405	1	1357	キュウ	おか	hill, knoll
